timestamp,Usage(kWh)_1,Generation(kVarh)_1,Usage(kVarh)_1,Generation(kWh)_1
2022-09-28 06:15:00+00:00,34.1053,0.0,12.4024,
2022-09-28 06:30:00+00:00,30.3878,0.0,9.3247,
2022-09-28 06:45:00+00:00,30.5464,0.0,10.416,
2022-09-28 07:00:00+00:00,30.0142,0.0,10.8757,
2022-09-28 07:15:00+00:00,30.826,0.0,11.3541,
2022-09-28 07:30:00+00:00,31.1029,0.0,11.7896,
2022-09-28 07:45:00+00:00,28.4659,0.0,11.0047,
2022-09-28 08:00:00+00:00,29.3341,0.0,10.6095,
2022-09-28 08:15:00+00:00,29.4363,0.0,9.9322,
2022-09-28 08:30:00+00:00,30.4416,0.0,11.5907,
2022-09-28 08:45:00+00:00,29.3557,0.0,9.4671,
2022-09-28 09:00:00+00:00,31.3528,0.0,11.2305,
2022-09-28 09:15:00+00:00,28.8879,0.0,9.5048,
2022-09-28 09:30:00+00:00,30.4013,0.0,11.209,
2022-09-28 09:45:00+00:00,29.7266,0.0,10.9697,
2022-09-28 10:00:00+00:00,29.7642,0.0,10.6257,
2022-09-28 10:15:00+00:00,28.3396,0.0,10.4725,
2022-09-28 10:30:00+00:00,28.9148,0.0,9.365,
2022-09-28 10:45:00+00:00,29.3261,0.0,9.8058,
2022-09-28 11:00:00+00:00,31.1485,0.0,11.6229,
2022-09-28 11:15:00+00:00,28.8503,0.0,9.6284,
2022-09-28 11:30:00+00:00,29.8959,0.0,10.2063,
2022-09-28 11:45:00+00:00,29.6325,0.0,10.0719,
2022-09-28 12:00:00+00:00,29.7857,0.0,10.3972,
2022-09-28 12:15:00+00:00,28.7992,0.0,9.959,
2022-09-28 12:30:00+00:00,29.8691,0.0,12.7062,
2022-09-28 12:45:00+00:00,29.7938,0.0,11.2251,
2022-09-28 13:00:00+00:00,30.2723,0.0,11.252,
2022-09-28 13:15:00+00:00,30.6378,0.0,11.2251,
2022-09-28 13:30:00+00:00,30.0518,0.0,10.6929,
2022-09-28 13:45:00+00:00,29.4901,0.0,10.6203,
2022-09-28 14:00:00+00:00,30.8179,0.0,12.1363,
2022-09-28 14:15:00+00:00,28.7213,0.0,9.5666,
2022-09-28 14:30:00+00:00,30.1459,0.0,11.3434,
2022-09-28 14:45:00+00:00,29.1084,0.0,8.9806,
2022-09-28 15:00:00+00:00,29.2723,0.0,9.787,
2022-09-28 15:15:00+00:00,29.8422,0.0,10.5531,
2022-09-28 15:30:00+00:00,29.0358,0.0,9.4134,
2022-09-28 15:45:00+00:00,28.8691,0.0,9.3784,
2022-09-28 16:00:00+00:00,29.7723,0.0,9.744,
2022-09-28 16:15:00+00:00,30.1997,0.0,11.2896,
2022-09-28 16:30:00+00:00,28.4364,0.0,8.6984,
2022-09-28 16:45:00+00:00,29.7615,0.0,10.3784,
2022-09-28 17:00:00+00:00,29.9416,0.0,11.2681,
2022-09-28 17:15:00+00:00,29.9739,0.0,10.6714,
2022-09-28 17:30:00+00:00,28.9874,0.0,10.3031,
2022-09-28 17:45:00+00:00,31.326,0.0,10.3139,
2022-09-28 18:00:00+00:00,29.353,0.0,10.5101,
2022-09-28 18:15:00+00:00,30.2131,0.0,11.5315,
2022-09-28 18:30:00+00:00,29.7454,0.0,11.0799,
2022-09-28 18:45:00+00:00,29.2562,0.0,10.3461,
2022-09-28 19:00:00+00:00,29.7723,0.0,11.8917,
2022-09-28 19:15:00+00:00,29.5411,0.0,10.7789,
2022-09-28 19:30:00+00:00,29.9094,0.0,10.8111,
2022-09-28 19:45:00+00:00,27.8208,0.0,9.3946,
2022-09-28 20:00:00+00:00,31.2561,0.0,11.8998,
2022-09-28 20:15:00+00:00,31.8958,0.0,11.588,
2022-09-28 20:30:00+00:00,33.5059,0.0,12.7008,
2022-09-28 20:45:00+00:00,32.6458,0.0,11.252,
2022-09-28 21:00:00+00:00,35.2477,0.0,13.225,
2022-09-28 21:15:00+00:00,31.5544,0.0,12.4454,
2022-09-28 21:30:00+00:00,33.686,0.0,13.3432,
2022-09-28 21:45:00+00:00,33.2264,0.0,13.3083,
2022-09-28 22:00:00+00:00,38.7825,0.0,14.6738,
2022-09-28 22:15:00+00:00,42.844,0.0,15.1657,
2022-09-28 22:30:00+00:00,41.7661,0.0,14.0152,
2022-09-28 22:45:00+00:00,43.18,0.0,14.1792,
2022-09-28 23:00:00+00:00,43.0241,0.0,14.1013,
2022-09-28 23:15:00+00:00,42.6854,0.0,13.862,
2022-09-28 23:30:00+00:00,37.5272,0.0,12.9938,
2022-09-28 23:45:00+00:00,40.5377,0.0,15.4856,
2022-09-29 00:00:00+00:00,37.3444,0.0,12.9535,
2022-09-29 00:15:00+00:00,35.0999,0.0,12.2976,
2022-09-29 00:30:00+00:00,35.2504,0.0,11.1955,
2022-09-29 00:45:00+00:00,34.8015,0.0,12.2492,
2022-09-29 01:00:00+00:00,35.5085,0.0,12.7707,
2022-09-29 01:15:00+00:00,34.2693,0.0,12.1874,
2022-09-29 01:30:00+00:00,36.0273,0.0,12.2385,
2022-09-29 01:45:00+00:00,34.057,0.0,12.2143,
2022-09-29 02:00:00+00:00,36.452,0.0,12.8594,
2022-09-29 02:15:00+00:00,36.1563,0.0,14.3082,
2022-09-29 02:30:00+00:00,35.7773,0.0,12.0584,
2022-09-29 02:45:00+00:00,35.616,0.0,14.0475,
2022-09-29 03:00:00+00:00,36.6106,0.0,12.7546,
2022-09-29 03:15:00+00:00,33.6753,0.0,11.9401,
2022-09-29 03:30:00+00:00,35.9628,0.0,13.3997,
2022-09-29 03:45:00+00:00,35.3956,0.0,13.0852,
2022-09-29 04:00:00+00:00,37.0218,0.0,13.7088,
2022-09-29 04:15:00+00:00,35.022,0.0,13.7518,
2022-09-29 04:30:00+00:00,33.9414,0.0,12.9508,
2022-09-29 04:45:00+00:00,35.0381,0.0,12.6175,
2022-09-29 05:00:00+00:00,36.4385,0.0,13.0072,
2022-09-29 05:15:00+00:00,36.0353,0.0,12.8191,
2022-09-29 05:30:00+00:00,32.4845,0.0,12.9239,
2022-09-29 05:45:00+00:00,33.643,0.0,13.1793,
2022-09-29 06:00:00+00:00,32.2076,0.0,12.2304,
2022-09-29 06:15:00+00:00,31.9469,0.0,11.5745,
2022-09-29 06:30:00+00:00,31.4147,0.0,10.8783,
2022-09-29 06:45:00+00:00,29.1003,0.0,9.5666,
2022-09-29 07:00:00+00:00,29.3046,0.0,10.0988,
2022-09-29 07:15:00+00:00,30.3798,0.0,10.5343,
2022-09-29 07:30:00+00:00,29.9793,0.0,10.6095,
2022-09-29 07:45:00+00:00,29.6513,0.0,10.3972,
2022-09-29 08:00:00+00:00,29.5626,0.0,9.9725,
2022-09-29 08:15:00+00:00,28.9094,0.0,9.7091,
2022-09-29 08:30:00+00:00,29.7185,0.0,10.4348,
2022-09-29 08:45:00+00:00,29.5142,0.0,10.0021,
2022-09-29 09:00:00+00:00,30.1056,0.0,12.6847,
2022-09-29 09:15:00+00:00,29.7965,0.0,10.7224,
2022-09-29 09:30:00+00:00,28.2589,0.0,9.9187,
2022-09-29 09:45:00+00:00,29.0358,0.0,11.6095,
2022-09-29 10:00:00+00:00,30.6835,0.0,11.4966,
2022-09-29 10:15:00+00:00,30.5437,0.0,10.8085,
2022-09-29 10:30:00+00:00,27.4257,0.0,8.5828,
2022-09-29 10:45:00+00:00,31.0222,0.0,11.7923,
2022-09-29 11:00:00+00:00,29.2105,0.0,10.3112,
2022-09-29 11:15:00+00:00,28.5412,0.0,10.0531,
2022-09-29 11:30:00+00:00,29.6056,0.0,10.6203,
2022-09-29 11:45:00+00:00,29.1863,0.0,9.572,
2022-09-29 12:00:00+00:00,28.7428,0.0,9.3569,
2022-09-29 12:15:00+00:00,29.5384,0.0,10.0746,
2022-09-29 12:30:00+00:00,29.5734,0.0,10.0155,
2022-09-29 12:45:00+00:00,29.982,0.0,11.1068,
2022-09-29 13:00:00+00:00,30.2185,0.0,10.7843,
2022-09-29 13:15:00+00:00,29.6218,0.0,10.5074,
2022-09-29 13:30:00+00:00,30.654,0.0,10.8219,
2022-09-29 13:45:00+00:00,28.7643,0.0,9.3193,
2022-09-29 14:00:00+00:00,29.8798,0.0,10.7789,
2022-09-29 14:15:00+00:00,28.0412,0.0,10.1499,
2022-09-29 14:30:00+00:00,30.0518,0.0,11.2385,
2022-09-29 14:45:00+00:00,30.3771,0.0,10.7144,
2022-09-29 15:00:00+00:00,30.1997,0.0,11.0988,
2022-09-29 15:15:00+00:00,29.5438,0.0,10.2655,
2022-09-29 15:30:00+00:00,30.2588,0.0,10.1499,
2022-09-29 15:45:00+00:00,28.7025,0.0,9.4322,
2022-09-29 16:00:00+00:00,30.0196,0.0,10.6499,
2022-09-29 16:15:00+00:00,28.2509,0.0,9.1016,
2022-09-29 16:30:00+00:00,28.6326,0.0,10.6445,
2022-09-29 16:45:00+00:00,29.3422,0.0,10.2198,
2022-09-29 17:00:00+00:00,30.7507,0.0,11.5799,
2022-09-29 17:15:00+00:00,29.5492,0.0,10.6445,
2022-09-29 17:30:00+00:00,30.7104,0.0,11.8326,
2022-09-29 17:45:00+00:00,29.5089,0.0,10.6982,
2022-09-29 18:00:00+00:00,29.0438,0.0,9.6284,
2022-09-29 18:15:00+00:00,30.5841,0.0,12.0503,
2022-09-29 18:30:00+00:00,30.9792,0.0,10.373,
2022-09-29 18:45:00+00:00,29.9443,0.0,10.6982,
2022-09-29 19:00:00+00:00,30.7023,0.0,10.459,
2022-09-29 19:15:00+00:00,29.5062,0.0,10.6015,
2022-09-29 19:30:00+00:00,29.74,0.0,10.3058,
2022-09-29 19:45:00+00:00,29.568,0.0,10.3918,
2022-09-29 20:00:00+00:00,32.2694,0.0,11.7681,
2022-09-29 20:15:00+00:00,33.1968,0.0,12.7277,
2022-09-29 20:30:00+00:00,33.9925,0.0,13.1658,
2022-09-29 20:45:00+00:00,33.5462,0.0,12.8352,
